year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2012,XLNX,743988,2240736.0,530079.0,-70071.0
2012,BXP,1037540,1876267.0,0,tag not found
2012,LYB,1489393,1876267.0,0,tag not found
2012,KR,56873,1876267.0,0,-1898.0
2012,AMP,820027,10259.0,0,-137.0
2012,ALXN,899866,0,cash flow not found,cash flow not found
2012,HSY,47111,6644252.0,0,-258727.0
2012,VRSN,1014473,Income statement not found,0,-53023.0
2012,CMG,1058090,Income statement not found,cash flow not found,cash flow not found
2012,VTR,740260,2485299.0,0,-69430.0
2012,DXCM,1093557,99.9,-54.5,-9.5
2012,SYF,1601712,99.9,-54.5,-9.5
2012,FAST,815556,Income statement not found,420536.0,-138406.0
2012,WY,106535,Income statement not found,cash flow not found,cash flow not found
2012,GLW,24741,0,1728.0,tag not found
2012,FITB,35527,0,0,-362.0
2012,HIG,874766,26412.0,0,tag not found
2012,DLTR,935703,Income statement not found,619.3,-312.2
2012,ALGN,1097149,560041.0,58691.0,-38333.0
2012,CLX,21076,Income statement not found,541.0,-192.0
2012,CDNS,813672,Income statement not found,439948.0,-35966.0
2012,RSG,1060391,8118300000.0,0,-903.5
2012,CPRT,900075,924191.0,182119.0,-54832.0
2012,SWKS,4127,Income statement not found,cash flow not found,cash flow not found
2012,ESS,920522,543425.0,0,tag not found
2012,RCL,884887,Income statement not found,18287.0,-1291499.0
2012,WDC,106040,0,1612.0,-717.0
2012,AEE,1002910,Income statement not found,cash flow not found,cash flow not found
2012,BBY,764478,Income statement not found,0,-766.0
2012,NTRS,73124,Income statement not found,cash flow not found,cash flow not found
2012,DHI,882184,Income statement not found,0,-33.6
2012,MKC,63754,Income statement not found,cash flow not found,cash flow not found
2012,VEEV,1393052,Income statement not found,cash flow not found,cash flow not found
2012,HAL,45012,28503.0,0,-3566.0
2012,KEY,91576,0,0,-152.0
2012,VMC,1396009,Income statement not found,0,-152.0
2012,HPE,1645590,Income statement not found,0,-152.0
2012,CDW,1402057,2601.0,119.0,-41.4
2012,AJG,354190,2520.3,cash flow not found,cash flow not found
2012,CMS,811156,6253.0,0,-1227.0
2012,ARE,1035443,0,0,tag not found
2012,UAL,100517,Income statement not found,cash flow not found,cash flow not found
2012,EFX,33185,0,0,-66.0
2012,LEN,920760,0,0,tag not found
2012,MTD,1037646,2341528.0,290847.0,-95588.0
2012,KHC,1637459,2341528.0,290847.0,-95588.0
2012,CHD,313927,0,cash flow not found,cash flow not found
2012,FCX,831259,0,0,tag not found
2012,KEYS,1601046,0,0,tag not found
2012,LH,920148,5671.4,0,-173.8
2012,TFX,96943,Income statement not found,0,-65394.0
2012,TRU,1552033,Income statement not found,0,-65394.0
2012,IAC,891103,Income statement not found,cash flow not found,cash flow not found
2012,ACGL,947484,3482381.0,cash flow not found,cash flow not found
2012,MXIM,743316,0,386727.0,-264348.0
2012,IP,51434,Income statement not found,cash flow not found,cash flow not found
2012,MLM,916076,Income statement not found,cash flow not found,cash flow not found
2012,DOV,29905,Income statement not found,811070.0,-297012.0
2012,TEAM,1650372,Income statement not found,811070.0,-297012.0
2012,COO,711404,1445136.0,0,-99779.0
2012,CFG,759944,1445136.0,0,-99779.0
2012,FTNT,1262039,533639.0,66836.0,-22083.0
2012,MRVL,1058057,3168630.0,306585.0,-68186.0
2012,K,55067,Income statement not found,cash flow not found,cash flow not found
2012,MKL,1096343,Income statement not found,0,-45519.0
2012,KSU,54480,2238.6,0,-540.0
2012,INVH,1687229,2238.6,0,-540.0
2012,OMC,29989,14219.4,0,-226.3
2012,CINF,20286,Income statement not found,421.0,-6.0
2012,CXO,1358071,0,431689.0,tag not found
2012,TIF,98246,Income statement not found,416157.0,-219530.0
2012,MGM,789570,9160844.0,0,-422763.0
2012,KMX,1170010,Income statement not found,413795.0,-172616.0
2012,YUMC,1673358,Income statement not found,413795.0,-172616.0
2012,RF,1281761,0,1120.0,tag not found
2012,HES,4447,Income statement not found,cash flow not found,cash flow not found
2012,BMRN,1048477,500723.0,-114347.0,-44571.0
2012,PAYC,1590955,500723.0,-114347.0,-44571.0
2012,MAA,912595,497165.0,0,tag not found
2012,CAG,23217,Income statement not found,0,tag not found
2012,CTL,18926,18376.0,777.0,-2919.0
2012,ULTA,1403568,Income statement not found,cash flow not found,cash flow not found
2012,XYL,1524472,Income statement not found,cash flow not found,cash flow not found
2012,TWLO,1447669,Income statement not found,cash flow not found,cash flow not found
2012,PFG,1126328,2295.9,0,tag not found
2012,CAH,721371,Income statement not found,1069.0,-263.0
2012,EXPE,1324424,4030347.0,0,-235697.0
2012,RNG,1384905,4030347.0,0,-235697.0
2012,CTXS,877890,2586123.0,0,-122958.0
2012,IFF,51253,Income statement not found,cash flow not found,cash flow not found
2012,AKAM,1086222,1373947.0,203989.0,-165642.0
2012,BURL,1579298,1373947.0,203989.0,-165642.0
2012,NUE,73309,Income statement not found,0,-440502.0
2012,DGX,1022079,7382562.0,0,-182234.0
2012,WAB,943452,2391122.0,251732.0,-36001.0
2012,HBAN,49196,0,641022.0,-129641.0
2012,DRI,940944,Income statement not found,641022.0,-129641.0
2012,HOLX,859737,2002652.0,-73634.0,-33149.0
2012,SUI,912593,339616.0,0,tag not found
2012,WPC,1025378,373995.0,0,tag not found
2012,LDOS,1336920,11173.0,525.0,-48.0
2012,GRMN,1121788,2715675.0,542403.0,-38445.0
2012,MAS,62996,7745.0,0,-119.0
2012,NLY,1043219,Income statement not found,0,-119.0
2012,SSNC,1402436,Income statement not found,45820.0,-17187.0
2012,LBRDK,1611983,Income statement not found,45820.0,-17187.0
2012,WAT,1000697,1843641.0,0,tag not found
2012,LNT,352541,3094.5,335.7,tag not found
2012,UDR,74208,Income statement not found,cash flow not found,cash flow not found
2012,ABC,1140859,19452974.0,718986.0,-164041.0
2012,ATO,731802,0,216717.0,-732858.0
2012,NTAP,1002047,6233.2,605.4,-407.1
2012,GPC,40987,Income statement not found,0,-101987.0
2012,AES,874761,0,0,-2236.0
2012,LNG,3570,266220.0,-332780.0,tag not found
2012,EXR,1289490,0,0,tag not found
2012,BR,1383312,Income statement not found,0,-33.8
2012,L,60086,14552.0,0,-1236.0
2012,CBOE,1374310,Income statement not found,0,-1236.0
2012,ANET,1596532,Income statement not found,0,-1236.0
2012,SIVB,719739,0,0,-38291.0
2012,GWW,277135,Income statement not found,cash flow not found,cash flow not found
2012,FOXA,1308161,Income statement not found,cash flow not found,cash flow not found
2012,OKTA,1660134,Income statement not found,cash flow not found,cash flow not found
2012,SGEN,1060736,Income statement not found,-53782.0,-10485.0
2012,TDY,1094285,2127.3,0,-65.3
2012,TTWO,946581,148084.0,-28802.0,-3149.0
2012,INCY,879169,297059.0,0,-2839.0
2012,LW,1679273,297059.0,0,-2839.0
2012,DRE,783280,1109440000.0,0,tag not found
2012,IT,749251,1615808.0,165903.0,tag not found
2012,AMTD,1173431,Income statement not found,cash flow not found,cash flow not found
2012,CNP,1130310,Income statement not found,cash flow not found,cash flow not found
2012,EXAS,1124140,Income statement not found,cash flow not found,cash flow not found
2012,ODFL,878927,Income statement not found,cash flow not found,cash flow not found
2012,NDAQ,1120193,3119.0,0,-87.0
2012,CE,1306830,6418.0,0,-361.0
2012,HAS,46080,0,335999.0,-112091.0
2012,ZBRA,877212,Income statement not found,122904.0,-22443.0
2012,FMC,37785,3748.3,0,-206.6
2012,HRL,48465,8230670.0,0,-132303.0
2012,FNF,1331875,7201.7,0,-132303.0
2012,WYNN,1174922,5154284000.0,0,-240985.0
2012,QRVO,1604778,5154284000.0,0,-240985.0
2012,ALNY,1178670,Income statement not found,-106014.0,-8348.0
2012,IEX,832101,1954258.0,37630.0,-35807.0
2012,VAR,203527,Income statement not found,427049.0,-61103.0
2012,STE,1624899,Income statement not found,427049.0,-61103.0
2012,XRAY,818479,2928429.0,0,-92072.0
2012,TYL,860731,Income statement not found,cash flow not found,cash flow not found
2012,EXPD,746515,Income statement not found,0,-47626.0
2012,JKHY,779152,1027109.0,154984.0,-41441.0
2012,MKTX,1278021,198204.0,60069.0,-5153.0
2012,NVR,906163,0,180588.0,-12365.0
2012,ELS,895417,709877000.0,0,tag not found
2012,ALLY,40729,Income statement not found,cash flow not found,cash flow not found
2012,ALLE,1579241,Income statement not found,cash flow not found,cash flow not found
2012,FANG,1539838,Income statement not found,cash flow not found,cash flow not found
2012,HST,1070750,5286.0,0,-366.0
2012,ARNC,4281,Income statement not found,cash flow not found,cash flow not found
2012,EPAM,1352010,Income statement not found,54484.0,-13376.0
2012,RJF,720005,Income statement not found,295869.0,-77515.0
2012,TER,97210,248404.0,217049.0,-119080.0
2012,SJM,91419,Income statement not found,cash flow not found,cash flow not found
2012,MYL,1623613,Income statement not found,cash flow not found,cash flow not found
2012,TXT,217346,12237.0,589.0,-480.0
2012,GDDY,1609711,12237.0,589.0,-480.0
2012,WU,1365135,1424.7,0,-60.9
2012,AVY,8818,6035.6,0,-95.0
2012,MPW,1287865,201397.0,0,tag not found
2012,NCLH,1513761,Income statement not found,cash flow not found,cash flow not found
2012,WST,105770,Income statement not found,cash flow not found,cash flow not found
2012,FICO,814547,Income statement not found,92004.0,-25483.0
2012,VMW,1124610,4605047.0,745702.0,-234458.0
2012,LNC,59558,Income statement not found,1313.0,tag not found
2012,URI,1067701,1249.0,75.0,-97.0
2012,PODD,1145197,211369.0,-51867.0,-10991.0
2012,VNO,899689,0,-51867.0,-10991.0
2012,Y,775368,Income statement not found,702244.0,-8123.0
2012,AAL,6201,0,-1876.0,-1888.0
2012,DPZ,1286681,1678439.0,112392.0,-29267.0
2012,RE,1095073,Income statement not found,828954.0,tag not found
2012,PHM,822416,1566966.0,206145.0,-13942.0
2012,TRMB,864749,2040113.0,0,-54071.0
2012,TTD,1671933,2040113.0,0,-54071.0
2012,TSCO,916365,0,276457.0,-152924.0
2012,UHS,352915,6961400.0,0,-363192.0
2012,NI,1111711,Income statement not found,cash flow not found,cash flow not found
2012,PNW,764622,3301804.0,0,-884350.0
2012,WRB,11544,5823554.0,510592.0,-40556.0
2012,BRO,79282,1200032.0,cash flow not found,cash flow not found
2012,APA,6769,Income statement not found,cash flow not found,cash flow not found
2012,FDS,1013237,805793.0,188809.0,-22520.0
2012,HII,1501585,Income statement not found,146.0,-162.0
2012,ROKU,1428439,Income statement not found,146.0,-162.0
2012,BAH,1443646,Income statement not found,cash flow not found,cash flow not found
2012,WRK,1636023,Income statement not found,cash flow not found,cash flow not found
2012,PKI,31791,2115205.0,69940.0,-42408.0
2012,ARMK,1584509,2115205.0,69940.0,-42408.0
2012,REG,910606,496920.0,0,tag not found
2012,LKQ,1065696,4122930.0,261225.0,-88255.0
2012,CPT,906345,Income statement not found,0,tag not found
2012,HSIC,1000228,0,0,-51237.0
2012,AGNC,1423689,Income statement not found,1277.0,tag not found
2012,EMN,915389,Income statement not found,0,-465.0
2012,VER,1507385,Income statement not found,cash flow not found,cash flow not found
2012,DOX,1062579,Income statement not found,cash flow not found,cash flow not found
2012,CCK,1219601,2037.0,cash flow not found,cash flow not found
2012,NDSN,72331,1409578.0,224829.0,-30959.0
2012,ETFC,1015780,Income statement not found,cash flow not found,cash flow not found
2012,TAP,24545,0,0,-222.3
2012,NBL,72207,4223.0,1027.0,0.0
2012,FBHS,1519751,3591.1,0,-75.0
2012,COUP,1385867,3591.1,0,-75.0
2012,DISH,1001082,Income statement not found,0,-957566.0
2012,CHRW,1043277,Income statement not found,593804.0,-36096.0
2012,SIRI,908937,Income statement not found,3472702.0,-97293.0
2012,MRO,101778,16221.0,1582.0,-4940.0
2012,RPM,110621,16221.0,1582.0,-4940.0
2012,PKG,75677,Income statement not found,163820.0,-128524.0
2012,GWRE,1528396,232061.0,0,-5619.0
2012,BFAM,1437578,Income statement not found,cash flow not found,cash flow not found
2012,ZEN,1463172,Income statement not found,cash flow not found,cash flow not found
2012,GLPI,1575965,Income statement not found,cash flow not found,cash flow not found
2012,NNN,751364,Income statement not found,0,tag not found
2012,MTN,812011,0,0,-132625.0
2012,NRG,1013871,8422.0,0,-3396.0
2012,WEX,1309108,623151.0,0,-28036.0
2012,FRT,34903,608018.0,0,tag not found
2012,JBHT,728535,Income statement not found,310354.0,-439494.0
2012,RGA,898174,Income statement not found,310354.0,-439494.0
2012,WHR,106640,18143.0,0,-476.0
2012,CF,1324404,1481.4,0,-523.5
2012,VST,1692819,1481.4,0,-523.5
2012,CMA,28412,0,0,tag not found
2012,NBIX,914475,Income statement not found,5025.0,-971.0
2012,OHI,888491,0,120698.0,tag not found
2012,ALB,915913,687596.0,0,-280873.0
2012,OGE,1021635,3671.2,0,-1150.6
2012,CSL,790051,Income statement not found,270.2,-140.4
2012,GGG,42888,Income statement not found,0,-18234.0
2012,LYV,1335258,5819047.0,0,-123811.0
2012,AAP,1158449,6205003.0,387670.0,-271182.0
2012,IRM,1020569,0,0,-240683.0
2012,JLL,1037976,Income statement not found,0,tag not found
2012,IPG,51644,6956.2,0,-169.2
2012,CGNX,851205,324279.0,68098.0,-9878.0
2012,DVN,1090012,Income statement not found,-206.0,-8225.0
2012,PTC,857005,1255679.0,-35398.0,-31413.0
2012,PCG,1004980,15040.0,0,-4624.0
2012,SNA,91440,Income statement not found,cash flow not found,cash flow not found
2012,KRC,1025996,0,0,tag not found
2012,DXC,1688568,0,0,tag not found
2012,SEIC,350894,992522.0,0,-23070.0
2012,TRGP,1389170,0,0,-582.7
2012,UGI,884614,6519.2,0,-339.4
2012,TTC,737758,Income statement not found,0,-43242.0
2012,USFD,1665918,Income statement not found,0,-43242.0
2012,CY,791915,769687.0,0,-33013.0
2012,ON,1097864,Income statement not found,cash flow not found,cash flow not found
2012,AZPN,929940,243134.0,-13808.0,-4241.0
2012,CTLT,1596783,243134.0,-13808.0,-4241.0
2012,POOL,945841,1953974.0,81972.0,-16271.0
2012,NOV,1021860,20041.0,0,-583.0
2012,SRPT,873303,Income statement not found,-121287.0,-108.0
2012,LII,1069202,2949.4,90.0,-50.2
2012,ABMD,815094,126375.0,1495.0,-1745.0
2012,RNR,913144,348430.0,0,tag not found
2012,XPO,1166003,Income statement not found,cash flow not found,cash flow not found
2012,STOR,1538990,Income statement not found,cash flow not found,cash flow not found
2012,VOYA,1535929,Income statement not found,cash flow not found,cash flow not found
2012,ATUS,1702780,Income statement not found,cash flow not found,cash flow not found
2012,G,1398659,1901971.0,178216.0,-83337.0
2012,SCI,89089,Income statement not found,cash flow not found,cash flow not found
2012,AIZ,1267238,8508270.0,cash flow not found,cash flow not found
