cik,symbol,year,quarter,filing_url
99780,TRN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1627197/0001209191-18-053564.txt
100493,TSN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1754322/0001179110-18-011977.txt
100517,UAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1299430/0001209191-18-053523.txt
100885,UNP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1675149/0001209191-18-054404.txt
101778,MRO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1734412/0001209191-18-053949.txt
101829,UTX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1676146/0001609711-18-000220.txt
101830,S,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1545654/0001225208-18-014466.txt
102729,VMI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1672990/0001434728-18-000201.txt
103379,VFC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1520262/0001127602-18-029250.txt
104169,WMT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1642081/0001642081-18-000101.txt
104889,GHC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1356186/0001127602-18-028696.txt
105016,WSO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1668948/0001213900-18-013334.txt
105770,WST,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1719229/0001719229-18-000004.txt
106040,WDC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1453440/0001225208-18-014052.txt
106535,WY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1618793/0001209191-18-054263.txt
106640,WHR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1585901/0001493152-18-014173.txt
107263,WMB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1652044/0001209191-18-052676.txt
108312,WWD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1365933/0001562180-18-004179.txt
108772,XRX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1689923/0001209191-18-053240.txt
109198,TJX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1326190/0001012975-18-001091.txt
109380,ZION,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1054970/0001415889-18-001440.txt
110621,RPM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1458116/0001209191-18-053768.txt
200406,JNJ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1549014/0001209191-18-053024.txt
203527,VAR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1310215/0001209191-18-054250.txt
216228,ITT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1668461/0001593968-18-001312.txt
217346,TXT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1315419/0001601712-18-000255.txt
277135,GWW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1300190/0000950142-18-001995.txt
277948,CSX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1347941/0001225208-18-014157.txt
310158,MRK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1488139/0001488139-18-000076.txt
310764,SYK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1568162/0001144204-18-051628.txt
